sigla_uf,cnae_2_subclasse,tipo_vinculo,valor_remuneracao_media,sexo,raca_cor,grau_instrucao_apos_2005,cbo_2002,id_municipio
AP,5231102,10,1159.89,1,8,7,517410,1600600
AP,5231102,10,1058.04,2,9,7,514225,1600303
AP,5231102,10,1159.67,1,8,5,514325,1600600
AP,5231102,10,2046,1,8,7,517420,1600600
AP,5231102,10,3530.85,2,8,7,141420,1600600
AP,5231102,10,1462.52,1,8,5,514325,1600600
AP,5231102,10,2849.78,1,9,7,782705,1600303
AP,5231102,10,2278.13,1,8,7,782510,1600600
AP,5231102,10,2615.49,1,8,7,342610,1600600
AP,5231102,10,4815.55,1,2,9,411010,1600600
AP,5231102,10,1752.88,1,8,5,717020,1600600
AP,5231102,10,0,1,8,5,717020,1600600
AP,5231101,10,1429.99,1,8,7,341215,1600600
AP,5231102,10,3166.4,1,8,9,252405,1600600
AP,5231102,10,1583.1,1,8,9,717020,1600600
AP,5231102,10,0,1,8,5,715210,1600600
AP,5231102,10,4363.55,1,8,7,951105,1600600
AP,5231101,10,1926.56,2,8,7,421125,1600600
AP,5231102,10,1418.42,1,8,7,717020,1600600
AP,5231102,10,3278.84,1,8,5,914410,1600600
AP,5231102,10,3912.9,1,8,7,862150,1600600
AP,5231101,10,1910.57,1,8,7,342610,1600600
AP,5231102,10,2893.49,1,8,5,715525,1600600
AP,5231102,10,1375.61,1,8,7,717020,1600600
AP,5231102,10,0,1,8,5,715210,1600600
AP,5231102,10,18097.8,1,2,9,141605,1600600
AP,5231102,10,0,1,8,4,715140,1600600
AP,5231102,10,2412.23,1,8,5,342610,1600600
AP,5231102,10,1986.15,1,8,7,841460,1600600
AP,5231102,10,0,1,8,7,717020,1600600
AP,5231101,10,1326.22,1,8,7,421125,1600600
AP,5231102,10,0,1,8,7,724315,1600600
AP,5231102,10,0,1,8,7,717020,1600600
AP,5231102,10,5428.1,1,8,5,715140,1600600
AP,5231102,10,1150.65,1,8,1,622005,1600600
AP,5231102,10,0,1,8,7,411005,1600600
AP,5231101,10,1699,1,9,7,341215,1600600
AP,5231102,10,1642.52,1,8,7,312320,1600600
AP,5231102,10,2749.1,1,8,7,951105,1600600
AP,5231102,10,1543.13,1,8,5,717020,1600600
AP,5231102,10,4358.22,2,8,9,252545,1600600
AP,5231102,10,2761.94,2,8,9,352205,1600600
AP,5231102,10,1503.53,1,8,7,717020,1600600
AP,5231102,10,4537.6,1,8,7,710205,1600600
AP,5231102,10,0,1,8,7,717020,1600600
AP,5231102,10,2638.44,1,8,7,841460,1600600
AP,5231101,10,2541.1,1,8,7,141605,1600600
AP,5231102,10,1637.64,1,8,5,717020,1600600
AP,5231102,10,2046.19,1,8,5,414105,1600600
AP,5231102,10,2886.73,1,4,7,724315,1600600
AP,5231102,10,0,1,8,7,717020,1600600
AP,5231102,10,4450.84,1,8,9,351605,1600600
AP,5231101,10,1988.97,1,8,7,342610,1600600
AP,5231102,10,2262.56,1,8,7,841460,1600600
AP,5231102,10,1557.02,1,8,7,717020,1600600
AP,5231102,10,0,1,8,7,717020,1600600
AP,5231102,10,2052.03,1,8,5,717020,1600600
AP,5231101,10,1680.98,1,8,7,341215,1600600
AP,5231102,10,2345.43,1,8,5,721115,1600600
AP,5231102,10,1264.78,1,8,1,622005,1600600
AP,5231102,10,0,1,8,5,715210,1600600
AP,5231102,10,1518.44,1,8,7,717020,1600600
AP,5231102,10,2200.34,1,8,7,841460,1600600
AP,5231102,10,1404,1,8,7,717020,1600600
AP,5231102,10,1747.94,1,8,7,717020,1600600
AP,5231101,10,934.23,1,8,7,514225,1600600
AP,5231102,10,0,1,8,7,717020,1600600
AP,5231102,10,0,2,8,7,717020,1600600
AP,5231102,10,1522.76,1,8,7,717020,1600600
